EAR,MAR,CIR,MOE,EAR_N,MAR_N,CIR_N,MOE_N,State
0.376371282,1.253342258,0.650692471,3.330068788,-1.137820273,0.137070754,-0.571872024,0.770336909,0
0.405948882,1.208933177,0.758212946,2.978042876,1.296250339,-1.287513927,1.40607966,-1.412269124,0
0.388272338,1.284932474,0.636432037,3.309358784,-0.158430066,1.150443173,-0.834207636,0.641932215,0
0.354285339,1.274304449,0.613747015,3.596830887,-2.955369463,0.809510186,-1.251522372,2.424296301,0
0.356203071,1.277649568,0.604533667,3.586857247,-2.797550822,0.916817191,-1.421011551,2.362458451,0
0.400117968,1.090019079,0.682076742,2.724244266,0.816398781,-5.102121175,0.005474496,-2.985853218,0
0.397058307,1.272071746,0.673996428,3.203740415,0.564605884,0.737888005,-0.143171343,-0.012915291,0
0.408163583,1.245825285,0.717246822,3.052269571,1.478507799,-0.104063801,0.652464929,-0.952054044,0
0.406546148,1.245716508,0.70499816,3.064145397,1.345401954,-0.107553228,0.427137975,-0.878422394,0
0.406200771,1.337420954,0.736837432,3.292512098,1.316979396,2.834204324,1.012854701,0.537480589,0
0.4163132,1.317615692,0.732924443,3.164962561,2.149175547,2.198877658,0.940871178,-0.253342983,0
0.383309739,1.295018446,0.650018578,3.37851694,-0.566824167,1.473987847,-0.584268989,1.070721694,0
0.383035911,1.256268082,0.632078169,3.2797658,-0.589358643,0.230927329,-0.914301599,0.458451898,0
0.372601654,1.23631778,0.630385646,3.318068416,-1.448039462,-0.409051999,-0.945437342,0.695933053,0
0.363936611,1.327691227,0.630119758,3.648138679,-2.161123915,2.522087527,-0.950328626,2.74241123,0
0.375137197,1.232308574,0.643342444,3.284954364,-1.239378475,-0.537662058,-0.707083464,0.49062166,0
0.355318212,1.358707616,0.61490229,3.823917742,-2.870369784,3.51705232,-1.230269867,3.832264076,0
0.380674577,1.320364659,0.627389451,3.46848657,-0.783683181,2.287060888,-1.000555479,1.628544994,0
0.396209389,1.238900112,0.657852384,3.126882263,0.494744707,-0.326214213,-0.44015793,-0.489445739,0
0.402709005,1.270394475,0.68163769,3.154621474,1.029626613,0.684083372,-0.002602339,-0.317459053,0
0.360731037,1.260975163,0.594073835,3.495610395,-2.424924659,0.381924281,-1.61343111,1.796716209,0
0.406722524,1.250198622,0.716941428,3.073836704,1.359916693,0.036227077,0.646846879,-0.818335038,0
0.413734517,1.173141908,0.719423786,2.835494408,1.936964367,-2.435650561,0.69251247,-2.296087994,0
0.38788781,1.276160726,0.705134166,3.290025347,-0.190074612,0.869057083,0.429639934,0.52206241,0
0.410126197,1.277111407,0.687393887,3.113947403,1.640019919,0.899553672,0.103288935,-0.569643536,0
0.383469374,1.186555841,0.670775681,3.094264947,-0.553687119,-2.00534931,-0.202420351,-0.691677299,0
0.32459451,1.227813195,0.620970608,3.782606166,-5.398758101,-0.681867856,-1.118636805,3.576126977,0
0.375137197,1.251180504,0.643342444,3.335261106,-1.239378475,0.067724549,-0.707083464,0.802529946,0
0.345207046,1.317140443,0.5793794,3.815508567,-3.702461998,2.183632306,-1.883750632,3.780126104,0
0.36222027,1.214296382,0.615954754,3.352370043,-2.302369134,-1.115469371,-1.210908702,0.908607563,0
0.387608703,1.254443346,0.637066119,3.236365274,-0.213043535,0.172392222,-0.822543043,0.189363044,0
0.373514139,1.427897536,0.622595111,3.822874116,-1.372947039,5.736573605,-1.088752377,3.825793455,0
0.316431016,1.28884286,0.58919858,4.073061097,-6.0705679,1.275883195,-1.703116538,5.376984985,0
0.38591941,1.398381959,0.643477281,3.62350771,-0.352062838,4.789752873,-0.704603011,2.589696044,0
0.400042839,1.390760033,0.665842858,3.47652776,0.810216069,4.545251566,-0.293164805,1.678401411,0
0.398357283,1.526899292,0.656005119,3.832989525,0.67150427,8.912419219,-0.474140302,3.8885103,0
0.424971946,1.340476758,0.693892494,3.15427117,2.861741777,2.93223048,0.222837611,-0.319630982,0
0.354245999,1.277225647,0.617763965,3.605476559,-2.958606887,0.903218338,-1.177626363,2.477900586,0
0.344816364,1.407662233,0.607920348,4.082353328,-3.73461293,5.087451812,-1.358710008,5.434598014,0
0.383590997,1.315791758,0.661002174,3.430194578,-0.543678202,2.140368271,-0.382214246,1.391129711,0
0.349454955,1.200652383,0.66739138,3.435785832,-3.352882946,-1.553150843,-0.264678115,1.425796203,0
0.367571853,1.275977916,0.664302441,3.471370031,-1.861963857,0.863192784,-0.321502377,1.646422827,0
0.348885347,1.334692206,0.615588286,3.82558974,-3.399758456,2.746669684,-1.217650269,3.842630677,0
0.386948073,1.231315118,0.735296532,3.182119779,-0.267409638,-0.56953081,0.984508238,-0.146966021,0
0.379317841,1.266739412,0.639736051,3.339519721,-0.89533494,0.566833762,-0.773426836,0.82893391,0
0.387004451,1.314161591,0.655343163,3.395727328,-0.262770072,2.08807466,-0.486317685,1.177428319,0
0.377113231,1.263580345,0.662465526,3.350665636,-1.07676196,0.465495093,-0.355294361,0.898040017,0
0.389020097,1.35063764,0.659368243,3.471896826,-0.09689372,3.258178168,-0.41227213,1.649689025,0
0.366693621,1.261198784,0.659294393,3.439380209,-1.934237431,0.389097733,-0.413630672,1.448081807,0
0.35963081,1.381188484,0.619372406,3.840573294,-2.515467183,4.238208905,-1.148037417,3.935530645,0
0.332013665,1.453444185,0.615973774,4.377663754,-4.788203306,6.556076398,-1.210558799,7.265560718,0
0.216634852,1.434328019,0.446543951,6.620947667,-14.28323231,5.942855015,-4.327397759,21.17421012,0
0.433473387,1.33397907,0.734156758,3.077418612,3.561362683,2.723793216,0.963540903,-0.796126749,0
0.374617314,1.212678125,0.647140705,3.237111794,-1.282161975,-1.167380927,-0.637210483,0.193991565,0
0.41412159,1.243063863,0.686104614,3.001688134,1.96881834,-0.192646572,0.079571406,-1.265665471,0
0.274721128,1.414442282,0.559531508,5.148647624,-9.503057674,5.304946843,-2.248873374,12.04576009,0
0.393816159,1.37512951,0.655959335,3.491805704,0.297795268,4.043845014,-0.47498256,1.773126632,0
0.403175746,1.429859706,0.674264044,3.546492369,1.068036751,5.799517424,-0.138248261,2.112191005,0
0.386736998,1.301883691,0.646747197,3.366328274,-0.284779962,1.694215843,-0.644449467,0.995150391,0
0.393297691,1.257807109,0.692104336,3.198104484,0.25512826,0.280297284,0.189942586,-0.047858788,0
0.383962745,1.42189506,0.643586124,3.703210996,-0.513085405,5.544022112,-0.70260072,3.08386669,0
0.383088758,1.50991859,0.640881025,3.941432781,-0.585009629,8.367700727,-0.752363853,4.560872462,0
0.415506751,1.502760532,0.661623555,3.616693423,2.082809285,8.138079691,-0.370783296,2.547446585,0
0.421590644,1.3723588,0.71089296,3.255192729,2.583479602,3.954964296,0.535578985,0.306095692,0
0.366934791,1.318459013,0.653875934,3.593169808,-1.914390491,2.225930299,-0.513308904,2.401597139,0
0.351798772,1.379460107,0.578323535,3.921162366,-3.159999932,4.182764833,-1.903174358,4.435193276,0
0.350762501,1.656754168,0.582629797,4.723293285,-3.245279219,13.0779922,-1.82395616,9.408508363,0
0.405390354,1.605904079,0.639344248,3.961377132,1.250286614,11.44678849,-0.780634475,4.684530012,0
0.410630093,1.60570211,0.64072861,3.910337155,1.681487731,11.4403096,-0.755167688,4.368075572,0
0.354130619,1.410088307,0.583052248,3.98183108,-2.968101997,5.16527706,-1.816184734,4.811347121,0
0.369946011,1.218975717,0.688357509,3.295009762,-1.666584011,-0.965362495,0.121015772,0.552966426,0
0.37128459,1.447810017,0.641247957,3.899461643,-1.556426455,6.375339725,-0.745613754,4.300645996,0
0.374147549,1.492907539,0.657421527,3.990157209,-1.320821014,7.822008675,-0.448083992,4.862970199,0
0.369344052,1.599240923,0.617135726,4.329949032,-1.716121807,11.23304323,-1.189183482,6.969723295,0
0.312324108,1.447297998,0.592501864,4.633961834,-6.408543331,6.358914823,-1.642349168,8.854641851,0
0.321985699,1.511644096,0.565407482,4.694755386,-5.613448597,8.423052693,-2.140778682,9.231569711,0
0.341499984,1.468181036,0.590960052,4.299212605,-4.007532431,7.028815121,-1.670712401,6.779153487,0
0.399450863,1.452398474,0.647525547,3.635987821,0.761499818,6.522531344,-0.630130921,2.66707434,0
0.344664344,1.618148931,0.593624857,4.694854454,-3.747123355,11.83958718,-1.621690529,9.232183944,0
0.345894394,1.714661218,0.560026192,4.957181287,-3.645897142,14.93557391,-2.239773139,10.85864412,0
0.35283949,1.533485326,0.593122078,4.346127257,-3.074354688,9.123690505,-1.630939668,7.070030372,0
0.3765903,1.595811666,0.606473603,4.237527272,-1.119796306,11.1230372,-1.385324403,6.396696472,0
0.352722085,1.554555862,0.604208517,4.407310823,-3.084016493,9.799605496,-1.426993019,7.449376372,0
0.3649047,1.574659217,0.608509323,4.31526154,-2.081455615,10.44449459,-1.347875191,6.87865895,0
0.393048477,1.66722837,0.659645717,4.241788139,0.234619387,13.41399077,-0.407167706,6.423114398,0
0.354776267,1.673081338,0.600878475,4.715877276,-2.914968793,13.60174625,-1.488252628,9.362528149,0
0.283994776,1.538005433,0.539349797,5.415611713,-8.739888493,9.268689579,-2.620137074,13.70097185,0
0.337025374,1.648468885,0.584637945,4.891230785,-4.375767738,12.81221127,-1.787014176,10.44974251,0
0.343583992,1.90590625,0.610075064,5.547133431,-3.836030254,21.07046203,-1.319071748,14.51642345,0
0.343748712,1.624337948,0.574125592,4.725364458,-3.822474718,12.03812266,-1.980399928,9.421349903,0
0.313483633,1.574391502,0.545227233,5.022244659,-6.313120956,10.43590661,-2.512015492,11.26204541,0
0.363951763,1.591578154,0.625883639,4.373046966,-2.159876967,10.98723172,-1.028256458,7.236936039,0
0.35559622,1.620847027,0.605136695,4.55811096,-2.847491305,11.92613854,-1.409918212,8.384356657,0
0.345444851,1.51600818,0.591655922,4.388567887,-3.682892009,8.563046747,-1.657911149,7.33316775,0
0.329218517,1.650764428,0.581167495,5.014190709,-5.018228286,12.88584927,-1.85085675,11.21210988,0
0.350523743,1.498339235,0.577620231,4.27457274,-3.264927721,7.996250323,-1.916112371,6.626383146,0
0.350762501,1.628190005,0.591468461,4.641858805,-3.245279219,12.16169159,-1.661359698,8.903604086,0
0.35388751,1.552970186,0.608609245,4.388315891,-2.988108504,9.748739082,-1.346037022,7.33160534,0
0.259342034,1.625166225,0.464095142,6.266497572,-10.76867084,12.06469271,-4.004525245,18.97657384,0
0.384110347,1.577876402,0.639909448,4.10787268,-0.50093857,10.54769763,-0.770237024,5.59282129,0
0.337869896,1.609297104,0.571664758,4.763067458,-4.306268358,11.55563227,-2.025669533,9.655113361,0
0.303718452,1.546690802,0.561849325,5.0925151,-7.11674059,9.547304747,-2.206234711,11.69773121,0
0.310087706,1.598619663,0.524348974,5.155379048,-6.592586695,11.21311404,-2.896092918,12.08749578,0
0.342405285,1.527471136,0.540703835,4.461003385,-3.933031232,8.930763237,-2.595228124,7.782277172,0
0.34281678,1.579196266,0.618308203,4.606531415,-3.899167531,10.59003711,-1.16761454,8.684569717,0
0.324426046,1.488072776,0.553565601,4.586785782,-5.412621735,7.666915869,-2.358622486,8.562144247,0
0.356539947,1.595042412,0.586772738,4.473670968,-2.769827823,11.09836055,-1.747742434,7.860817823,0
0.297198933,1.395285207,0.537928518,4.694785382,-7.653260398,4.690413164,-2.646282998,9.23175569,0
0.320408082,1.607310883,0.529319382,5.01644925,-5.743277639,11.49191692,-2.804657067,11.22611313,0
0.27697919,1.407440579,0.532159347,5.081394673,-9.317231852,5.080341455,-2.752412936,11.62878312,0
0.309572264,1.703913835,0.528475088,5.504090761,-6.635004725,14.59081207,-2.820188727,14.24955335,0
0.366961765,1.587240338,0.621232676,4.325356176,-1.912170679,10.84808032,-1.113815798,6.941246995,0
0.351065405,1.58900577,0.596182109,4.526238546,-3.220351924,10.90471305,-1.574647207,8.186743582,0
0.383745418,1.533338387,0.648612705,3.995717775,-0.530970228,9.118976906,-0.610131506,4.897446422,0
0.278025221,1.15555216,0.556773691,4.156285381,-9.23114938,-2.999906465,-2.29960631,5.892986276,0
0.347544895,1.273164416,0.591818985,3.663309213,-3.510070166,0.772939432,-1.654911434,2.836470494,0
0.379773848,1.196803128,0.671870467,3.151357407,-0.857808163,-1.676629874,-0.18228063,-0.337696692,0
0.381627464,1.223696245,0.695498741,3.206520393,-0.705265977,-0.813934196,0.252386214,0.004320936,0
0.355876684,1.155916653,0.675005793,3.248082004,-2.824410683,-2.988214011,-0.124603017,0.262008281,0
0.387795771,1.111395519,0.725166683,2.865929964,-0.19764891,-4.416393204,0.798159071,-2.107383625,0
0.36505357,1.203596847,0.654181272,3.297041708,-2.069204423,-1.458696342,-0.507691888,0.565564755,0
0.394157365,1.212678125,0.73776962,3.076634442,0.325874628,-1.167380927,1.030003287,-0.800988705,0
